timestamp,latitude,longitude
0.01694,42.27381,-71.81623
0.03389,42.27554,-71.82837
0.05083,42.27426,-71.83209
0.06778,42.27426,-71.83209
0.08472,42.27680,-71.80771
0.10167,42.27680,-71.80771
0.11861,42.27680,-71.80771
0.13556,42.27680,-71.80771
0.15250,42.28012,-71.80747
0.16944,42.28012,-71.80747
0.18639,42.27907,-71.83162
0.20333,42.27687,-71.82173
0.22028,42.27914,-71.83293
0.23722,42.28247,-71.77714
0.25417,42.28247,-71.77714
0.27111,42.26944,-71.78533
0.28806,42.26944,-71.78533
0.30500,42.26944,-71.78533
0.32194,42.26941,-71.78535
0.33889,42.26943,-71.78535
0.35583,42.26942,-71.78533
0.37278,42.26942,-71.78533
0.38972,42.27150,-71.79260
0.40667,42.27150,-71.79260
0.42361,42.27144,-71.79276
0.44056,42.27907,-71.82849
0.45750,42.27907,-71.82849
0.47444,42.27403,-71.82757
0.49139,42.27403,-71.82757
0.50833,42.27361,-71.82637
0.52528,42.27975,-71.82958
0.54222,42.27975,-71.82958
0.55917,42.27767,-71.80694
0.57611,42.27767,-71.80694
0.59306,42.27337,-71.81861
0.61000,42.27337,-71.81861
0.62694,42.27337,-71.81861
0.64389,42.28836,-71.84657
0.66083,42.27435,-71.80728
0.67778,42.27664,-71.80509
0.69472,42.27664,-71.80509
0.71167,42.28236,-71.79619
0.72861,42.28236,-71.79619
0.74556,42.28236,-71.79619
0.76250,42.28220,-71.79665
0.77944,42.28220,-71.79665
0.79639,42.27833,-71.80399
0.81333,42.27833,-71.80399
0.83028,42.27833,-71.80399
0.84722,42.27170,-71.81898
0.86417,42.27170,-71.81898
0.88111,42.27170,-71.81898
0.89806,42.27010,-71.83243
0.91500,42.27435,-71.80799
0.93194,42.27011,-71.82804
0.94889,42.27502,-71.80941
0.96583,42.27502,-71.80941
0.98278,42.27502,-71.80941
0.99972,42.27455,-71.82153
1.01667,42.27455,-71.82153
1.03361,42.28394,-71.79271
1.05056,42.27452,-71.83081
1.06750,42.28417,-71.84337
1.08444,NaN,NaN
1.10139,NaN,NaN
1.11833,NaN,NaN
1.13528,42.27537,-71.80899
1.15222,42.27535,-71.80893
1.16917,42.27535,-71.80893
1.18611,42.27361,-71.79271
1.20306,42.27361,-71.82693
1.22000,42.27361,-71.79275
1.23694,42.27040,-71.83254
1.25389,42.27040,-71.83254
1.27083,42.27040,-71.83254
1.28778,42.27403,-71.82775
1.30472,42.27458,-71.82903
1.32167,42.27458,-71.82903
1.33861,42.27518,-71.82854
1.35556,42.27518,-71.82854
1.37250,42.27518,-71.82854
1.38944,NaN,NaN
1.40639,NaN,NaN
1.42333,NaN,NaN
1.44028,42.27213,-71.82139
1.45722,42.27213,-71.82139
1.47417,42.27213,-71.82139
1.49111,42.27660,-71.82985
1.50806,42.27070,-71.83149
1.52500,42.27660,-71.82985
1.54194,42.27316,-71.81158
1.55889,42.27316,-71.81158
1.57583,42.27504,-71.82916
1.59278,NaN,NaN
1.60972,42.27361,-71.82693
1.62667,42.27361,-71.82693
1.64361,42.27808,-71.80061
1.66056,42.27633,-71.82727
1.67750,42.27549,-71.83000
1.69444,42.27325,-71.82509
1.71139,42.27190,-71.80495
1.72833,42.27670,-71.83170
1.74528,42.27192,-71.80495
1.76222,42.27192,-71.80495
1.77917,42.27361,-71.81721
1.79611,42.27361,-71.82440
1.81306,42.27361,-71.82440
1.83000,42.28347,-71.77653
1.84694,42.28347,-71.77653
1.86389,42.28347,-71.77653
1.88083,42.28043,-71.78129
1.89778,42.28043,-71.78129
1.91472,42.28044,-71.78130
1.93167,42.27735,-71.78614
1.94861,42.27735,-71.78614
1.96556,42.27736,-71.78609
1.98250,42.27736,-71.78609
1.99944,42.27293,-71.79297
2.01639,42.27293,-71.79297
2.03333,42.27361,-71.80294
2.05028,42.27361,-71.80294
2.06722,42.27344,-71.80937
2.08417,42.27349,-71.80941
2.10111,42.27349,-71.80941
2.11806,42.27361,-71.81035
2.13500,42.27349,-71.80941
2.15194,42.27623,-71.80490
2.16889,42.27190,-71.82236
2.18583,42.27324,-71.82540
2.20278,42.27678,-71.81532
2.21972,42.27678,-71.81532
2.23667,42.27472,-71.83374
2.25361,42.27472,-71.83374
2.27056,42.27472,-71.83374
2.28750,42.28502,-71.84479
2.30444,42.28502,-71.84479
2.32139,42.28502,-71.84479
2.33833,42.28502,-71.84479
2.35528,42.27810,-71.80637
2.37222,42.27810,-71.80637
2.38917,42.27962,-71.80948
2.40611,42.27962,-71.80948
2.42306,42.28521,-71.84245
2.44000,42.28521,-71.84245
2.45694,42.27446,-71.83363
