0,42.27344,-71.79611,1528.4
0.2,42.27345,-71.79611,1527.5
0.4,42.27346,-71.7961,1526.6
0.6,42.27346,-71.7961,1525.8
0.8,42.27347,-71.79609,1525
1,42.27348,-71.79609,1524.2
1.2,42.27348,-71.79609,1523.3
1.4,42.27349,-71.79608,1522.7
1.6,42.2735,-71.79608,1521.8
1.8,42.27351,-71.79607,1521
2,42.27351,-71.79606,1520.1
2.2,42.27352,-71.79606,1519.3
2.4,42.27353,-71.79605,1518.4
2.6,42.27354,-71.79605,1517.6
2.8,42.27355,-71.79604,1516.7
3,42.27356,-71.79604,1516
3.2,42.27357,-71.79603,1515.1
3.4,42.27357,-71.79603,1514.2
3.6,42.27358,-71.79602,1513.3
3.8,42.2736,-71.79602,1512.4
4,42.2736,-71.79601,1511.6
4.2,42.27361,-71.79601,1510.7
4.4,42.27362,-71.796,1509.8
4.6,42.27363,-71.796,1509.1
4.8,42.27364,-71.796,1508.2
5,42.27365,-71.79599,1507.3
5.2,42.27366,-71.79599,1506.4
5.4,42.27367,-71.79599,1505.6
5.6,42.27368,-71.79599,1504.8
5.8,42.27369,-71.79598,1504
6,42.2737,-71.79598,1503.1
6.2,42.2737,-71.79598,1502.4
6.4,42.27371,-71.79597,1501.5
6.6,42.27372,-71.79597,1500.7
6.8,42.27373,-71.79597,1499.8
7,42.27374,-71.79597,1499
7.2,42.27374,-71.79596,1498.2
7.4,42.27375,-71.79596,1497.4
7.6,42.27376,-71.79596,1496.5
7.8,42.27376,-71.79595,1495.8
8,42.27377,-71.79595,1495
8.2,42.27378,-71.79594,1494.2
8.4,42.27378,-71.79594,1493.3
8.6,42.27379,-71.79594,1492.5
8.8,42.27379,-71.79593,1491.8
9,42.2738,-71.79593,1490.9
9.2,42.27381,-71.79593,1490.1
9.4,42.27381,-71.79592,1489.4
9.6,42.27382,-71.79592,1488.6
9.8,42.27382,-71.79591,1487.8
10,42.27383,-71.79591,1486.9
10.2,42.27384,-71.7959,1486.1
10.4,42.27384,-71.7959,1485.4
10.6,42.27385,-71.79589,1484.5
10.8,42.27386,-71.79589,1483.7
11,42.27386,-71.79588,1483
11.2,42.27387,-71.79587,1482.2
11.4,42.27388,-71.79587,1481.4
11.6,42.27389,-71.79586,1480.5
11.8,42.27389,-71.79586,1479.7
12,42.2739,-71.79585,1478.9
12.2,42.27391,-71.79584,1478.1
12.4,42.27392,-71.79584,1477.3
12.6,42.27392,-71.79583,1476.6
12.8,42.27393,-71.79582,1475.7
13,42.27394,-71.79582,1474.9
13.2,42.27395,-71.79581,1474.1
13.4,42.27396,-71.7958,1473.2
13.6,42.27397,-71.79579,1472.5
13.8,42.27398,-71.79579,1471.7
14,42.27399,-71.79578,1470.9
14.2,42.27399,-71.79577,1470.2
14.4,42.274,-71.79577,1469.4
14.6,42.27401,-71.79576,1468.5
14.8,42.27402,-71.79575,1467.7
15,42.27403,-71.79575,1466.9
15.2,42.27404,-71.79574,1466.1
15.4,42.27405,-71.79574,1465.3
15.6,42.27405,-71.79573,1464.5
15.8,42.27406,-71.79573,1463.8
16,42.27407,-71.79572,1463
16.2,42.27408,-71.79572,1462.2
16.4,42.27409,-71.79571,1461.4
16.6,42.2741,-71.79571,1460.5
16.8,42.27411,-71.7957,1459.8
17,42.27412,-71.7957,1459
17.2,42.27413,-71.7957,1458.1
17.4,42.27413,-71.79569,1457.5
17.6,42.27414,-71.79569,1456.7
17.8,42.27415,-71.79569,1455.8
18,42.27416,-71.79568,1455
18.2,42.27417,-71.79568,1454.2
18.4,42.27417,-71.79568,1453.4
18.6,42.27418,-71.79567,1452.6
18.8,42.27419,-71.79567,1451.8
19,42.27419,-71.79567,1451.1
19.2,42.2742,-71.79566,1450.3
19.4,42.27421,-71.79566,1449.4
19.6,42.27422,-71.79565,1448.6
19.8,42.27422,-71.79565,1447.8
20,42.27423,-71.79564,1447
20.2,42.27424,-71.79563,1446.2
20.4,42.27424,-71.79563,1445.4
20.6,42.27425,-71.79562,1444.7
20.8,42.27425,-71.79562,1443.8
21,42.27426,-71.79561,1443
21.2,42.27427,-71.7956,1442.1
21.4,42.27427,-71.7956,1441.3
21.6,42.27428,-71.79559,1440.6
21.8,42.27428,-71.79558,1439.7
22,42.27429,-71.79557,1438.9
22.2,42.27429,-71.79557,1438.2
22.4,42.2743,-71.79556,1437.4
22.6,42.27431,-71.79555,1436.5
22.8,42.27431,-71.79555,1435.7
23,42.27432,-71.79554,1434.8
23.2,42.27433,-71.79553,1434.1
23.4,42.27433,-71.79552,1433.3
23.6,42.27434,-71.79552,1432.5
23.8,42.27435,-71.79551,1431.8
24,42.27436,-71.7955,1431
